,0,1,2,3,4,5,6,7
3,EQUITIES,,,,,,,
4,,,,,,,,
5,Afdis Distillers Limited,Afdis Distillers Limited,Afdis Distillers Limited,,,324.8,324.8,0.0
6,,,,,,,,
7,African Sun Limited,African Sun Limited,,,,15.8338,15.7962,151800.0
8,,,,,,,,
9,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,Amalgamated Regional Trading (Art) Holdings Limited,17.0,17.0,0.0
10,,,,,,,,
11,,,,,,,,
12,Ariston Holdings Limited,Ariston Holdings Limited,Ariston Holdings Limited,,,2.1,2.2787,13000.0
13,,,,,,,,
14,Axia Corporation Limited,Axia Corporation Limited,Axia Corporation Limited,,,63.5861,64.0008,107900.0
15,,,,,,,,
16,Bridgefort Capital Limited,Bridgefort Capital Limited,Bridgefort Capital Limited,,,12.0,10.2,300.0
17,,,,,,,,
18,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,Bridgefort Capital Limited Class B,,26.0,26.0,0.0
19,,,,,,,,
20,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,British American Tobacco Zimbabwe Limited,2385.0,2385.0,200.0
21,,,,,,,,
22,,,,,,,,
23,Cafca Limited,Cafca Limited,,,,200.0,200.0,100.0
24,,,,,,,,
25,Cbz Holdings Limited,Cbz Holdings Limited,,,,143.6329,150.0,100.0
26,,,,,,,,
27,Cfi Holdings Limited,Cfi Holdings Limited,,,,370.0,370.0,0.0
28,,,,,,,,
29,Dairibord Holdings Limited,Dairibord Holdings Limited,Dairibord Holdings Limited,,,24.5,24.5,0.0
30,,,,,,,,
31,Delta Corporation Limited,Delta Corporation Limited,Delta Corporation Limited,,,224.0092,220.9271,195000.0
32,,,,,,,,
33,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,Ecocash Holdings Zimbabwe Limited,,38.82,38.3977,348600.0
34,,,,,,,,
35,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,Econet Wireless Zimbabwe Limited,,113.7624,114.0772,273500.0
36,,,,,,,,
37,Edgars Stores Limited,Edgars Stores Limited,Edgars Stores Limited,,,7.625,6.5926,29000.0
38,,,,,,,,
39,Fbc Holdings Limited,Fbc Holdings Limited,,,,58.75,58.75,0.0
40,,,,,,,,
41,Fidelity Life Assurance Limited,Fidelity Life Assurance Limited,Fidelity Life Assurance Limited,,,22.0,22.0,0.0
42,,,,,,,,
43,First Capital Bank Limited,First Capital Bank Limited,First Capital Bank Limited,,,7.0074,6.9991,3261500.0
44,,,,,,,,
45,First Mutual Holdings Limited,First Mutual Holdings Limited,First Mutual Holdings Limited,,,18.8421,18.8421,0.0
46,,,,,,,,
47,First Mutual Properties Limited,First Mutual Properties Limited,First Mutual Properties Limited,,,7.0917,7.0917,0.0
48,,,,,,,,
49,General Beltings Holdings Limited,General Beltings Holdings Limited,General Beltings Holdings Limited,General Beltings Holdings Limited,,1.55,1.558,2500.0
50,,,,,,,,
51,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,Getbucks Microfinance Bank Limited,,17.0,17.0,100.0
52,,,,,,,,
53,Hippo Valley Estates Limited,Hippo Valley Estates Limited,Hippo Valley Estates Limited,,,243.0,208.25,100.0
54,,,,,,,,
55,Innscor Africa Limited,Innscor Africa Limited,Innscor Africa Limited,,,271.1308,273.3323,170200.0
56,,,,,,,,
57,Lafarge Cement Zimbabwe Limited,Lafarge Cement Zimbabwe Limited,Lafarge Cement Zimbabwe Limited,Lafarge Cement Zimbabwe Limited,,120.0,120.0,0.0
58,,,,,,,,
59,Mashonaland Holdings Limited,Mashonaland Holdings Limited,Mashonaland Holdings Limited,,,5.0,4.3839,2800.0
60,,,,,,,,
61,Masimba Holdings Limited,Masimba Holdings Limited,Masimba Holdings Limited,,,43.5,43.5,0.0
62,,,,,,,,
63,Meikles Limited,Meikles Limited,,,,100.0,95.3897,3400.0
64,,,,,,,,
65,Nampak Zimbabwe Limited,Nampak Zimbabwe Limited,Nampak Zimbabwe Limited,,,10.5,9.6268,7100.0
66,,,,,,,,
67,National Foods Holdings Limited,National Foods Holdings Limited,National Foods Holdings Limited,National Foods Holdings Limited,,1345.0,1345.0,3900.0
68,,,,,,,,
69,National Tyre Services Limited,National Tyre Services Limited,National Tyre Services Limited,,,13.0,13.0,0.0
70,,,,,,,,
71,Nmbz Holdings Limited,Nmbz Holdings Limited,Nmbz Holdings Limited,,,16.5143,16.0,504700.0
72,,,,,,,,
73,Ok Zimbabwe Limited,Ok Zimbabwe Limited,Ok Zimbabwe Limited,,,31.7074,32.0,2044900.0
74,Proplastics Limited,Proplastics Limited,,,,21.25,21.25,0.0
75,,,,,,,,
76,Rainbow Tourism Group Limited,Rainbow Tourism Group Limited,Rainbow Tourism Group Limited,Rainbow Tourism Group Limited,,8.5,8.5,0.0
77,,,,,,,,
78,Riozim Limited,Riozim Limited,,,,93.55,93.55,0.0
79,,,,,,,,
80,Seed Co Limited,Seed Co Limited,,,,79.0,79.0004,269900.0
81,,,,,,,,
82,Simbisa Brands Limited,Simbisa Brands Limited,Simbisa Brands Limited,,,159.745,156.8446,101900.0
83,,,,,,,,
84,Starafricacorporation Limited,Starafricacorporation Limited,Starafricacorporation Limited,,,1.6316,1.6299,135500.0
85,,,,,,,,
86,Tanganda Tea Company Limited,Tanganda Tea Company Limited,Tanganda Tea Company Limited,,,126.0,126.0,0.0
87,,,,,,,,
88,Truworths Limited,Truworths Limited,,,,2.0,1.87,14100.0
89,,,,,,,,
90,Tsl Limited,Tsl Limited,,,,61.25,61.25,0.0
91,,,,,,,,
92,Turnall Holdings Limited,Turnall Holdings Limited,Turnall Holdings Limited,,,4.57,4.57,0.0
93,,,,,,,,
94,Unifreight Africa Limited,Unifreight Africa Limited,Unifreight Africa Limited,,,34.2,34.2,0.0
95,,,,,,,,
96,Willdale Limited,Willdale Limited,,,,1.8449,1.9938,10200.0
97,,,,,,,,
98,Zb Financial Holdings Limited,Zb Financial Holdings Limited,Zb Financial Holdings Limited,,,80.0,80.0,0.0
99,,,,,,,,
100,Zeco Holdings Limited,Zeco Holdings Limited,Zeco Holdings Limited,,,0.0288,0.0288,0.0
101,,,,,,,,
102,Zimbabwe Newspapers (1980) Limited,Zimbabwe Newspapers (1980) Limited,Zimbabwe Newspapers (1980) Limited,Zimbabwe Newspapers (1980) Limited,,4.0,4.0,0.0
103,,,,,,,,
104,Zimplow Holdings Limited,Zimplow Holdings Limited,Zimplow Holdings Limited,,,17.0,17.0,100.0
105,,,,,,,,
106,Zimre Holdings Limited,Zimre Holdings Limited,Zimre Holdings Limited,,,4.9163,4.9163,0.0
