,name,opening,closing,volume
5,Afdis Distillers Limited,340.0,340.0,0.0
7,African Sun Limited,20.4087,20.7926,14100.0
9,Amalgamated Regional Trading (Art) Holdings Limited,20.0097,20.0,100.0
12,Ariston Holdings Limited,3.9,3.9,222700.0
14,Axia Corporation Limited,123.017,120.0031,1056700.0
16,Bridgefort Capital Limited,19.9988,19.9988,0.0
18,Bridgefort Capital Limited Class B,26.0,26.0,0.0
20,British American Tobacco Zimbabwe Limited,3660.0,3660.0,0.0
23,Cafca Limited,260.0,260.0,0.0
25,Cbz Holdings Limited,115.0,114.3724,23900.0
27,Cfi Holdings Limited,330.0,330.0,0.0
29,Dairibord Holdings Limited,57.05,56.8,220000.0
31,Delta Corporation Limited,381.342,374.3386,908700.0
33,Ecocash Holdings Zimbabwe Limited,115.8166,110.8587,1379600.0
35,Econet Wireless Zimbabwe Limited,207.1559,200.3701,940400.0
37,Edgars Stores Limited,4.4,4.4025,300.0
39,Fbc Holdings Limited,70.0,70.0,0.0
41,Fidelity Life Assurance Limited,22.0,22.0,200.0
43,First Capital Bank Limited,12.6765,12.5002,91600.0
45,First Mutual Holdings Limited,25.997,25.997,0.0
47,First Mutual Properties Limited,11.0,11.0,200.0
49,General Beltings Holdings Limited,1.0513,1.0525,21000.0
51,Getbucks Microfinance Bank Limited,14.0,15.0,100.0
53,Hippo Valley Estates Limited,394.95,390.0,24200.0
55,Innscor Africa Limited,514.4132,509.8735,524300.0
57,Lafarge Cement Zimbabwe Limited,150.0,150.0,1600.0
59,Mashonaland Holdings Limited,7.1445,7.297,10000.0
61,Masimba Holdings Limited,61.0,61.0,0.0
63,Meikles Limited,160.0,160.3864,1100.0
65,Nampak Zimbabwe Limited,14.75,14.75,0.0
67,National Foods Holdings Limited,2000.0,2000.0,0.0
69,National Tyre Services Limited,11.7,11.7,0.0
71,Nmbz Holdings Limited,30.0,30.0,0.0
73,Ok Zimbabwe Limited,49.95,45.0549,1390000.0
74,Proplastics Limited,65.0,65.0,0.0
76,Rainbow Tourism Group Limited,9.0,9.0,100.0
78,Riozim Limited,113.3333,113.3333,0.0
80,Seed Co Limited,226.95,220.0393,479000.0
82,Simbisa Brands Limited,226.6978,226.0583,35000.0
84,Starafricacorporation Limited,1.7507,1.7104,107600.0
86,Tanganda Tea Company Limited,239.8201,239.2231,66100.0
88,Truworths Limited,2.2025,2.2025,0.0
90,Tsl Limited,115.0,115.0,220500.0
92,Turnall Holdings Limited,4.1085,4.1085,0.0
94,Unifreight Africa Limited,30.4,30.4,0.0
96,Willdale Limited,4.0,3.998,10100.0
98,Zb Financial Holdings Limited,71.0,71.0,100100.0
100,Zeco Holdings Limited,0.0288,0.0288,0.0
102,Zimbabwe Newspapers (1980) Limited,5.0,5.0,0.0
104,Zimplow Holdings Limited,24.95,24.55,1500.0
106,Zimre Holdings Limited,5.7,5.7,0.0
